"match_id","time","home_fault","card","away_fault","info"
13327,"90+3","Can E. ","yellow card","",NA
13329,"29","Holebas J. ","yellow card","",NA
13329,"40","Doucoure A. ","yellow card","",NA
13331,"33","Cabaye Y. ","yellow card","",NA
13331,"50","Puncheon J. ","yellow card","",NA
13331,"57","Ward J. ","yellow card","",NA
13331,"67","McArthur J. ","yellow card","",NA
13331,"82","Dann S. ","yellow card","",NA
13446,"23","Davis D. ","yellow card","",NA
13446,"27","","yellow card"," Hugill J.",NA
13446,"31","","yellow card"," Earl J.",NA
13446,"54","Maghoma J. ","yellow card","",NA
13446,"57","","yellow card"," Johnson D.",NA
13446,"70","","yellow card"," Welsh J.",NA
13447,"5","","yellow card"," McShane P.",NA
13447,"25","","yellow card"," McCleary G.",NA
13447,"34","","yellow card"," Edwards D.",NA
13447,"66","Egan J. ","yellow card","",NA
13447,"69","Henry R. ","yellow card","",NA
13447,"72","Maupay N. ","yellow card","",NA
13447,"81","","yellow card"," Obita J.",NA
13448,"4","","yellow card"," Johnson B.",NA
13448,"66","Pack M. ","yellow card","",NA
13448,"82","","yellow card"," Davies C.",NA
13450,"29","Peltier L. ","yellow card","",NA
13450,"44","","yellow card"," Pudil D.",NA
13450,"62","","yellow card"," van Aken J.",NA
13453,"32","","yellow card"," Luongo M.",NA
13453,"34","Clayton A. ","yellow card","",NA
13453,"39","Leadbitter G. ","yellow card","",NA
13453,"47","","yellow card"," Wszolek P.",NA
13453,"52","","yellow card"," Smithies A.",NA
13453,"66","","yellow card"," Mackie J.",NA
13453,"66","Christie C. ","yellow card","",NA
13453,"66","Baker L. ","yellow card","",NA
13454,"43","","yellow card"," Shaughnessy C.",NA
13454,"47","","yellow card"," Saiz",NA
13454,"62","Saville G. ","yellow card","",NA
13454,"69","","yellow card"," O'Kane E.",NA
13456,"59","","yellow card"," Tettey A.",NA
13456,"63","Coutts P. ","yellow card","",NA
13456,"65","Fleck J. ","yellow card","",NA
13456,"78","","yellow card"," Husband J.",NA
13456,"82","","yellow card"," Jerome C.",NA
13456,"86","","yellow card"," Maddison J.",NA
13456,"89","","yellow card"," Trybull T.",NA
16523,"48","Chafik F. ","yellow card","",NA
16523,"55","","yellow card"," Selnaes O.",NA
16523,"57","Marie J. ","yellow card","",NA
16523,"65","","yellow card"," Maiga D.",NA
16523,"76","","yellow card"," Dabo B.",NA
16523,"79","Xeka ","yellow card","",NA
16527,"1","","yellow card"," Martin J.",NA
16527,"63","","yellow card"," Mangane K.",NA
16527,"73","Sidibe D. ","yellow card","",NA
16527,"84","Jorge ","yellow card","",NA
17681,"67","","yellow card"," Stindl L.",NA
17681,"83","Keita N. ","red card","",NA
17681,"90+1","Werner T. ","yellow card","",NA
17682,"42","Rafinha ","yellow card","",NA
17682,"56","Boateng J. ","yellow card","",NA
17683,"45","de Guzman J. ","yellow card","",NA
17683,"90+1","Falette S. ","yellow card","",NA
17684,"68","Gebre Selassie T. ","yellow card","",NA
17684,"90","Hajrovic I. ","yellow card","",NA
24600,"73","De Rossi D. ","yellow card","",NA
24601,"16","Badelj M. ","yellow card","",NA
30354,"17","Sandler P. ","yellow card","",NA
30354,"26","","yellow card"," Gladon P.",NA
30354,"39","","yellow card"," van Hintum B.",NA
30354,"41","Marcellis D. ","yellow card","",NA
30354,"77","Dekker R. ","yellow card","",NA
30354,"80","","yellow card"," Darri B.",NA
30354,"90+3","Mokhtar Y. ","yellow card","",NA
30354,"90+4","Nijland S. ","yellow card","",NA
41195,"32","Cala ","yellow card","",NA
41195,"88","Suarez D. ","yellow card","",NA
41196,"3","Postigo S. ","yellow card","",NA
41196,"15","","yellow card"," Parejo D.",NA
41196,"37","Bardhi E. ","yellow card","",NA
41313,"13","Salvador I. ","yellow card","",NA
41313,"16","Mata J. ","yellow card","",NA
41313,"34","Borja ","yellow card","",NA
41313,"42","","yellow card"," Montoro A.",NA
41313,"54","","yellow card"," Menosse H.",NA
41313,"57","","yellow card"," Machis D.",NA
41313,"57","Kiko ","yellow card","",NA
41313,"66","Hervias P. ","yellow card","",NA
41313,"79","Nacho ","yellow card","",NA
45297,"30","","yellow card"," Eduok E.",NA
45297,"33","","yellow card"," Pavelka D.",NA
45297,"75","","yellow card"," Veigneau O.",NA
45297,"83","","yellow card"," Sadiku L.",NA
45297,"90+2","Aziz S. ","yellow card","",NA
45387,"8","","yellow card"," Yilmaz S.",NA
45387,"53","Cakmak I. ","yellow card","",NA
45387,"59","Alhas G. ","yellow card","",NA
45387,"78","Ozgur I. ","yellow card","",NA
45387,"88","Cavlan C. ","yellow card","",NA
13323,"82","Bailly E. ","yellow card","",NA
13324,"52","Luiz D. ","yellow card","",NA
13324,"65","Morata A. ","yellow card","",NA
13324,"87","Luiz D. ","red card","",NA
16519,"45","Motta T. ","yellow card","",NA
16519,"55","","yellow card"," Fekir N.",NA
16519,"76","Neymar ","yellow card","",NA
16519,"79","","yellow card"," Mendy F.",NA
16519,"80","Cavani E.","yellow card","",NA
16519,"81","Silva T. ","yellow card","",NA
16520,"62","","yellow card"," Philipps C.",NA
16520,"77","","yellow card"," Balliu I.",NA
16520,"90+1","Mangani T. ","yellow card","",NA
16520,"90+5","","yellow card"," Cafu",NA
16521,"35","Prcic S. ","yellow card","",NA
16521,"45+1","","yellow card"," Saint-Maximin A.",NA
16521,"49","","yellow card"," Jallet C.",NA
16521,"69","","yellow card"," Seri J.",NA
16521,"85","","yellow card"," Lees Melou P.",NA
16521,"90+2","","yellow card"," Souquet A.",NA
16522,"3","El Hajjam O. ","yellow card","",NA
16522,"14","Gouano P. ","yellow card","",NA
16522,"32","","yellow card"," Luiz Gustavo",NA
16522,"40","","yellow card"," N'Jie C.",NA
16522,"81","","yellow card"," Zambo Andre-Frank",NA
17680,"21","Zuber S. ","yellow card","",NA
17680,"81","Hubner B. ","yellow card","",NA
24593,"39","Rosi A. ","yellow card","",NA
24593,"46","","yellow card"," de Vrij S.",NA
24593,"87","","yellow card"," Alberto L.",NA
24595,"26","Romagnoli A. ","yellow card","",NA
24597,"11","","yellow card"," Joao Pedro",NA
24597,"60","","yellow card"," Capuano M.",NA
24597,"78","","yellow card"," Barella N.",NA
24597,"90+2","Mora L. ","yellow card","",NA
24598,"60","De Silvestri L. ","yellow card","",NA
24598,"90+1","Moretti E. ","yellow card","",NA
24599,"56","Adjapong C. ","yellow card","",NA
30350,"16","","yellow card"," Berghuis S.",NA
30350,"23","","yellow card"," van der Heijden J-A.",NA
30350,"43","","red card"," Berghuis S.",NA
30350,"50","Bergwijn S. ","yellow card","",NA
30350,"60","","yellow card"," Haps R.",NA
30350,"68","","yellow card"," Toornstra J.",NA
30350,"87","Ramselaar B. ","yellow card","",NA
30351,"21","Miazga M. ","yellow card","",NA
30351,"38","","yellow card"," Labylle L.",NA
30351,"88","van der Werff M. ","yellow card","",NA
30351,"89","Kashia G. ","yellow card","",NA
30351,"90","Pasveer R. ","yellow card","",NA
30351,"90+1","Matavz T. ","yellow card","",NA
30352,"2","","yellow card"," Kluivert J.",NA
30352,"34","Immers L. ","yellow card","",NA
30352,"38","Beugelsdijk T. ","yellow card","",NA
